"gene_name","GO_BP_Count","GO_MF_Count"
"MRPS12",2,3
"MRPS14",2,3
"MRPS15",2,3
"MRPS16",2,2
"MRPS17",2,3
"MRPS18A",2,2
"MRPS18B",2,2
"MRPS18C",2,2
"MRPS2",2,1
"MRPS21",2,2
"MRPS22",2,2
"MRPS23",1,3
"MRPS24",2,2
"MRPS25",1,1
"MRPS26",1,1
"MRPS27",3,4
"MRPS28",1,1
"MRPS30",2,2
"MRPS31",1,4
"MRPS33",2,1
"MRPS34",1,1
"MRPS35",1,3
"MRPS5",2,2
"MRPS6",2,3
"MRPS7",3,4
"MRPS9",1,3
"MRRF",2,2
"MRS2",3,2
"MRTO4",4,2
"MS4A1",11,5
"MS4A10",1,1
"MS4A12",1,1
"MS4A13",1,1
"MS4A14",1,1
"MS4A15",1,0
"MS4A18",1,0
"MS4A2",2,2
"MS4A5",1,0
"MS4A6A",1,1
"MS4A6E",1,1
"MS4A7",1,1
"MS4A8",1,0
"MSANTD1",1,0
"MSC",9,8
"MSGN1",6,7
"MSH2",27,22
"MSH3",7,10
"MSH4",6,6
"MSH5",2,5
"MSH6",13,17
"MSI1",5,7
"MSI2",3,5
"MSL1",2,2
"MSL2",5,5
"MSL3",3,4
"MSLN",2,1
"MSLNL",1,0
"MSMB",1,2
"MSMO1",4,3
"MSMP",4,3
"MSN",21,8
"MSR1",11,5
"MSRA",5,3
"MSRB1",3,5
"MSRB2",3,5
"MSRB3",2,4
"MST1",4,2
"MST1L",2,1
"MST1R",15,5
"MSTN",27,7
"MSTO1",2,2
"MSX1",47,9
"MSX2",36,8
"MT1A",6,3
"MT1B",6,3
"MT1DP",5,2
"MT1E",6,3
"MT1F",6,3
"MT1G",9,3
"MT1H",6,3
"MT1HL1",5,1
"MT1M",6,3
"MT1X",8,3
"MT2A",9,3
"MT3",30,7
"MT4",6,1
"MTA1",15,8
"MTA2",10,9
"MTA3",10,8
"MTAP",5,3
"MTBP",5,0
"MTCH1",6,2
"MTCH2",6,2
"MTCP1",1,2
"MTDH",10,7
"MTF1",9,9
"MTF2",6,7
"MTFMT",2,1
"MTFP1",2,1
"MTFR1",3,1
"MTFR1L",2,1
"MTFR2",3,1
"MTG1",3,3
"MTG2",3,3
"MTHFD1",16,7
"MTHFD1L",7,4
"MTHFD2",3,6
"MTHFD2L",5,4
"MTHFR",13,8
"MTHFS",7,5
"MTIF2",3,6
"MTIF3",2,5
"MTM1",20,6
"MTMR1",3,3
"MTMR10",1,0
"MTMR11",1,0
"MTMR12",1,1
"MTMR14",3,4
"MTMR2",12,4
"MTMR3",10,9
"MTMR4",8,9
"MTMR6",4,6
"MTMR7",3,6
"MTMR8",3,4
"MTMR9",6,3
"MTNR1A",5,5
"MTNR1B",15,3
"MTO1",2,2
"MTOR",88,14
"MTPAP",4,9
"MTPN",15,1
"MTR",10,4
"MTRF1",1,2
"MTRF1L",1,2
"MTRNR2L1",1,1
"MTRNR2L10",1,1
"MTRNR2L11",1,1
"MTRNR2L12",1,1
"MTRNR2L13",1,1
"MTRNR2L2",1,1
"MTRNR2L3",1,1
"MTRNR2L4",1,1
"MTRNR2L5",3,2
"MTRNR2L6",1,1
"MTRNR2L7",1,1
"MTRNR2L8",1,1
"MTRNR2L9",1,1
"MTRR",7,8
"MTSS1",13,6
"MTTP",18,13
"MTUS1",1,2
"MTX1",4,2
"MTX2",4,1
"MTX3",3,1
"MUC1",6,4
"MUC12",1,1
"MUC13",1,1
"MUC16",1,1
"MUC17",1,3
"MUC2",4,3
"MUC20",1,1
"MUC21",1,0
"MUC4",2,2
"MUC6",1,1
"MUC7",2,1
"MUL1",25,8
"MUS81",9,6
"MUSK",13,6
"MUSTN1",10,0
"MUTYH",5,9
"MVB12A",11,4
"MVB12B",8,2
"MVD",4,4
"MVK",5,5
"MVP",8,4
"MX1",10,5
"MX2",9,4
"MXD1",2,5
"MXD3",2,5
"MXD4",2,4
"MXI1",2,6
"MXRA5",1,1
"MXRA8",3,2
"MYADM",9,2
"MYB",25,4
"MYBBP1A",14,4
"MYBL1",7,3
"MYBL2",5,5
"MYBPC1",2,5
"MYBPC2",2,3
"MYBPC3",8,9
"MYBPH",3,2
"MYBPHL",2,2
"MYC",42,14
"MYCBP",3,2
"MYCBP2",13,6
"MYCBPAP",4,3
"MYCL",2,5
"MYCN",6,9
"MYCNOS",2,1
"MYCT1",1,0
"MYD88",63,10
"MYEF2",2,4
"MYF5",16,6
"MYF6",10,8
"MYH1",1,5
"MYH10",6,9
"MYH11",5,6
"MYH13",2,4
"MYH14",9,4
"MYH16",4,0
"MYH2",2,5
"MYH3",9,6
"MYH4",4,6
"MYH6",19,6
"MYH7",15,5
"MYH8",4,8
"MYH9",29,15
"MYL1",2,2
"MYL12A",1,2
"MYL12B",1,3
"MYL2",10,5
"MYL3",5,4
"MYL4",3,4
"MYL5",1,2
"MYL6",3,5
"MYL6B",3,4
"MYL7",2,2
"MYL9",3,4
"MYLIP",9,5
"MYLK",10,6
"MYLK2",11,6
"MYLK3",8,4
"MYLK4",3,5
"MYNN",2,4
"MYO10",5,8
"MYO15A",6,4
"MYO16",5,5
"MYO18A",13,8
"MYO18B",4,3
"MYO19",6,7
"MYO1A",6,4
"MYO1B",5,8
"MYO1C",15,7
"MYO1D",6,7
"MYO1E",10,7
"MYO1F",3,6
"MYO1G",11,7
"MYO1H",3,3
"MYO3A",7,12
"MYO3B",7,7
"MYO5A",9,7
"MYO5B",6,6
"MYO5C",2,4
"MYO6",11,10
"MYO7A",17,9
"MYO7B",7,4
"MYO9A",7,6
"MYO9B",6,12
"MYOC",20,6
"MYOCD",41,7
"MYOD1",28,16
"MYOF",4,3
"MYOG",22,12
"MYOM1",5,5
"MYOM2",3,3
"MYOM3",1,2
"MYOT",4,5
"MYOZ1",8,7
"MYOZ2",6,5
"MYPN",4,6
"MYPOP",2,5
"MYRF",11,6
"MYRFL",2,2
"MYRIP",2,6
"MYSM1",8,7
"MYT1",4,4
"MYT1L",7,4
"MYZAP",1,1
"MZB1",7,1
"MZF1",3,9
"MZT1",3,1
"N4BP1",7,4
"N4BP2",1,6
"N4BP2L2",4,4
"N4BP3",2,1
"N6AMT1",7,9
"NAA10",5,7
"NAA11",1,4
"NAA15",6,5
"NAA16",4,4
"NAA20",5,2
"NAA25",1,2
"NAA30",2,3
"NAA35",3,1
"NAA38",1,2
"NAA40",2,4
"NAA50",5,5
"NAA60",5,6
"NAAA",5,5
"NAALAD2",1,7
"NAALADL1",2,7
"NAALADL2",1,1
"NAB1",6,1
"NAB2",6,4
"NABP1",5,4
"NABP2",7,5
"NACA",14,4
"NACA2",2,1
"NACAD",2,2
"NACC1",4,5
"NACC2",7,7
"NADK",5,4
"NADK2",3,3
"NADSYN1",2,4
"NAE1",7,4
"NAF1",9,4
"NAGA",4,3
"NAGK",10,4
"NAGLU",50,1
"NAGPA",6,2
"NAGS",3,1
"NAIF1",2,2
"NAIP",16,7
"NALCN",7,5
"NAMPT",8,4
"NANOG",11,9
"NANOGNB",1,2
"NANOGP1",3,2
"NANOGP8",5,3
"NANOS1",9,5
"NANOS2",7,4
"NANOS3",9,5
"NANP",4,1
"NANS",4,2
"NAP1L1",6,5
"NAP1L2",4,4
"NAP1L3",1,3
"NAP1L4",1,6
"NAP1L5",1,1
"NAPA",10,5
"NAPB",4,3
"NAPEPLD",8,4
"NAPG",5,3
"NAPSA",3,4
"NARS2",1,3
"NASP",8,3
"NAT1",1,2
"NAT10",9,9
"NAT14",2,2
"NAT2",1,3
"NAT8",4,4
"NAT8L",1,2
"NAV1",3,2
"NAV2",10,5
"NAV3",6,3
"NBAS",4,2
"NBEA",1,1
"NBEAL1",1,1
"NBEAL2",2,2
"NBL1",9,5
"NBN",33,7
"NBR1",4,4
"NCALD",4,6
"NCAM1",5,2
"NCAM2",2,1
"NCAN",5,3
"NCAPD2",6,2
"NCAPD3",6,3
"NCAPG",5,1
"NCAPG2",9,3
"NCAPH",7,2
"NCAPH2",8,2
"NCBP1",25,6
"NCBP2",19,7
"NCBP2L",2,1
"NCCRP1",4,2
"NCDN",4,1
"NCEH1",4,4
"NCF1",10,7
"NCF1B",2,2
"NCF1C",2,2
"NCF2",6,5
"NCF4",3,3
"NCK1",23,13
"NCK2",19,8
"NCKAP1",11,2
"NCKAP1L",37,5
"NCKAP5",3,1
"NCKAP5L",2,1
"NCKIPSD",4,4
"NCL",8,8
"NCLN",7,2
"NCMAP",2,1
"NCOA1",28,11
"NCOA2",14,10
"NCOA3",11,9
"NCOA4",8,2
"NCOA5",5,4
"NCOA6",8,8
"NCOA7",5,3
"NCOR1",10,7
"NCOR2",9,9
"NCR1",5,1
"NCR2",2,3
"NCR3",7,3
"NCR3LG1",4,4
"NCS1",3,4
"NCSTN",25,5
"NDC1",8,2
"NDC80",17,5
"NDE1",13,3
"NDEL1",21,5
"NDFIP1",18,1
"NDFIP2",7,2
"NDN",14,4
"NDNF",13,2
"NDOR1",2,11
"NDP",44,4
"NDRG1",7,5
"NDRG2",10,2
"NDRG3",4,1
"NDRG4",14,2
"NDST1",16,5
"NDST2",5,4
"NDST3",3,3
"NDST4",2,3
"NDUFA1",5,1
"NDUFA10",5,1
"NDUFA11",3,1
"NDUFA12",6,2
"NDUFA13",10,3
"NDUFA2",6,1
"NDUFA3",5,2
"NDUFA4",4,3
"NDUFA5",6,2
"NDUFA6",6,1
"NDUFA7",4,2
"NDUFA8",5,3
"NDUFA9",8,4
"NDUFAB1",8,6
"NDUFAF1",4,2
"NDUFAF2",2,2
"NDUFAF3",1,1
"NDUFAF4",4,2
"NDUFAF5",3,4
"NDUFAF6",2,1
"NDUFAF7",2,4
"NDUFB1",5,1
"NDUFB10",5,2
"NDUFB11",3,1
"NDUFB2",5,1
"NDUFB3",5,1
"NDUFB4",5,1
"NDUFB5",5,2
"NDUFB6",6,2
"NDUFB7",5,2
"NDUFB8",5,1
"NDUFB9",6,2
"NDUFC1",5,1
"NDUFC2",5,2
"NDUFC2-KCTD14",1,0
"NDUFS1",6,6
"NDUFS2",10,10
"NDUFS3",7,4
"NDUFS4",9,2
"NDUFS5",5,2
"NDUFS6",4,2
"NDUFS7",5,8
"NDUFS8",5,5
"NDUFV1",5,6
"NDUFV2",6,6
"NDUFV3",5,3
"NEAT1",8,5
"NEB",4,3
"NEBL",1,6
"NECAB1",3,4
"NECAB2",6,5
"NECAB3",3,2
"NECAP1",3,1
"NECAP2",3,1
"NEDD1",3,2
"NEDD4",31,11
"NEDD4L",24,8
"NEDD8",10,3
"NEDD9",21,2
"NEFH",12,8
"NEFL",28,8
"NEFM",1,3
"NEGR1",14,1
"NEIL1",5,7
"NEIL2",1,6
"NEIL3",5,9
"NEK1",4,9
"NEK10",7,6
"NEK11",5,6
"NEK2",16,8
"NEK3",7,6
"NEK4",7,5
"NEK5",2,5
"NEK6",14,11
"NEK7",8,7
"NEK8",6,5
"NEK9",5,8
"NELFA",3,3
"NELFB",4,2
"NELFCD",1,2
"NELFE",5,4
"NELL1",9,4
"NELL2",3,5
"NEMF",5,3
"NENF",3,3
"NEO1",13,5
"NES",12,4
"NET1",10,2
"NETO1",6,1
"NETO2",2,2
"NEU1",2,3
"NEU2",4,2
"NEU3",6,3
"NEU4",4,2
"NEURL1B",3,3
"NEURL2",2,1
"NEURL3",3,2
"NEURL4",2,2
"NEUROD1",32,10
"NEUROD2",17,6
"NEUROD4",10,4
"NEUROD6",4,4
"NEUROG1",30,8
"NEUROG2",5,5
"NEUROG3",15,8
"NEXN",5,4
"NF1",99,4
"NF2",32,3
"NFAM1",9,2
"NFASC",5,2
"NFAT5",12,7
"NFATC1",14,11
"NFATC2",19,12
"NFATC2IP",2,1
"NFATC3",13,6
"NFATC4",26,7
"NFE2",5,10
"NFE2L1",12,10
"NFE2L2",47,13
"NFE2L3",4,5
"NFE4",4,5
"NFIA",19,7
"NFIB",37,7
"NFIC",5,6
"NFIL3",11,7
"NFIX",5,5
"NFKB1",40,13
"NFKB2",13,6
"NFKBIA",28,9
"NFKBIB",6,2
"NFKBID",4,1
"NFKBIE",1,1
"NFKBIL1",6,2
"NFKBIZ",35,4
"NFRKB",13,3
"NFS1",6,6
"NFU1",3,4
"NFX1",6,7
"NFXL1",2,3
"NFYA",6,6
"NFYB",4,9
"NFYC",4,8
"NGB",3,7
"NGDN",5,2
"NGEF",7,2
"NGF",16,7
"NGFR",26,11
"NGLY1",3,3
"NGRN",3,3
"NHEJ1",8,3
"NHLH1",4,7
"NHLH2",11,7
"NHLRC1",8,5
"NHLRC3",3,2
"NHP2",4,4
"NHS",2,0
"NHSL1",1,0
"NHSL2",1,1
"NID1",9,8
"NID2",3,4
"NIF3L1",3,3
"NIN",9,4
"NINJ1",19,4
"NINJ2",4,1
"NINL",1,2
"NIP7",2,2
"NIPA1",3,2
"NIPA2",2,1
"NIPAL1",2,1
"NIPAL2",2,1
"NIPAL3",2,2
"NIPAL4",2,2
"NIPBL",39,8
"NIPSNAP1",2,2
"NIPSNAP3A",1,1
"NIPSNAP3B",1,0
"NISCH",5,6
"NIT1",1,1
"NIT2",3,2
"NKAIN1",1,1
"NKAIN2",1,0
"NKAIN3",1,0
"NKAIN4",1,1
"NKAP",8,4
"NKAPL",3,2
"NKD1",12,3
"NKD2",9,7
"NKG7",9,1
"NKIRAS1",5,3
"NKIRAS2",6,3
"NKRF",2,5
"NKTR",2,2
"NKX1-1",3,2
"NKX1-2",2,2
"NKX2-1",40,10
"NKX2-2",25,5
"NKX2-3",20,3
"NKX2-4",3,4
"NKX2-5",65,13
"NKX2-6",18,4
"NKX2-8",10,7
"NKX3-1",45,14
"NKX3-2",15,5
"NKX6-1",26,4
"NKX6-2",14,6
"NKX6-3",7,6
"NLE1",9,1
"NLGN1",46,7
"NLGN2",40,4
"NLGN3",22,5
"NLGN4X",19,7
"NLGN4Y",10,5
"NLK",12,10
"NLN",5,3
"NLRC3",17,4
"NLRC4",16,7
"NLRC5",11,3
"NLRP1",21,14
"NLRP10",13,3
"NLRP11",1,3
"NLRP12",24,4
"NLRP13",1,1
"NLRP14",3,1
"NLRP2",6,3
"NLRP3",28,16
"NLRP4",3,2
"NLRP5",9,3
"NLRP6",23,9
"NLRP7",6,5
"NLRP8",1,2
"NLRP9",5,2
"NLRX1",8,2
"NMB",16,4
"NMBR",10,2
"NMD3",5,3
"NME1",13,10
"NME2",14,10
"NME2P1",5,4
"NME3",8,4
"NME4",6,5
"NME5",12,3
"NME6",7,4
"NME7",6,4
"NME8",5,2
"NME9",3,1
"NMI",15,2
"NMNAT1",8,6
"NMNAT2",4,4
"NMNAT3",4,3
"NMRK1",3,6
"NMRK2",4,6
"NMS",2,1
"NMT1",6,4
"NMT2",4,3
"NMU",8,5
"NMUR1",7,4
"NMUR2",12,7
"NNAT",3,0
"NNMT",7,2
"NNT",11,4
"NOA1",3,3
"NOB1",3,3
"NOBOX",2,3
"NOC2L",7,7
"NOC3L",2,2
"NOC4L",1,2
"NOD1",35,10
"NOD2",79,14
"NODAL",48,5
"NOG",70,3
"NOL10",1,1
"NOL11",2,2
"NOL3",23,7
"NOL6",3,2
"NOL7",2,2
"NOL8",2,2
"NOL9",3,6
"NOLC1",6,7
"NOM1",3,2
"NOMO1",4,3
"NOMO2",1,3
"NOMO3",3,3
"NONO",11,5
"NOP10",5,4
"NOP14",7,3
"NOP16",1,1
"NOP2",7,3
"NOP56",2,5
"NOP58",3,5
"NOP9",5,1
"NOS1",30,15
"NOS1AP",12,4
"NOS2",30,11
"NOS3",47,12
"NOSIP",3,4
"NOSTRIN",5,2
"NOTCH1",161,12
"NOTCH2",47,7
"NOTCH3",12,6
"NOTCH4",18,6
"NOTO",9,4
"NOTUM",6,3
"NOVA1",6,5
"NOVA2",7,3
"NOX1",22,6
"NOX3",5,5
"NOX4",18,12
"NOX5",10,8
"NOXA1",4,6
"NOXO1",4,5
"NOXRED1",2,2
"NPAP1",4,3
"NPAS1",6,4
"NPAS2",9,9
"NPAS3",2,4
"NPAS4",14,7
"NPAT",5,4
"NPB",3,2
"NPBWR1",5,5
"NPBWR2",3,5
"NPC1",31,6
"NPC1L1",9,6
"NPC2",12,4
"NPEPL1",1,4
"NPEPPS",5,4
"NPFF",3,5
"NPFFR1",4,3
"NPFFR2",7,4
"NPHP1",9,2
"NPHP3",24,1
"NPHP4",11,2
"NPHS1",10,3
"NPHS2",4,1
"NPIPA1",2,0
"NPIPB3",1,2
"NPL",2,3
"NPLOC4",7,8
"NPM1",31,16
"NPM2",7,6
"NPM3",3,4
"NPNT",17,3
"NPPA",24,6
"NPPA-AS1",1,1
"NPPB",19,5
"NPPC",35,3
"NPR1",17,9
"NPR2",47,9
"NPR3",12,8
"NPRL2",4,2
"NPRL3",8,2
"NPS",7,0
"NPSR1",7,2
"NPTN",11,3
"NPTX1",9,1
"NPTX2",2,4
"NPVF",2,3
"NPW",3,2
"NPY",19,6
"NPY1R",10,6
"NPY2R",5,5
"NPY4R",2,4
"NPY5R",15,4
"NPY6R",1,2
"NQO1",37,8
"NQO2",1,12
"NR0B1",17,9
"NR0B2",16,9
"NR1D1",33,13
"NR1D2",16,7
"NR1H2",29,11
"NR1H3",37,11
"NR1H4",47,16
"NR1I2",13,9
"NR1I3",6,9
"NR2C1",6,12
"NR2C2",8,10
"NR2E1",38,10
"NR2E3",12,7
"NR2F1",6,9
"NR2F2",25,8
"NR2F6",7,9
"NR3C1",31,20
"NR3C2",4,10
"NR4A1",23,12
"NR4A2",28,12
"NR4A3",29,12
"NR5A1",20,13
"NR5A2",17,14
"NR6A1",5,9
"NRAP",2,6
"NRARP",12,1
"NRAS",4,6
"NRBF2",3,1
"NRBP1",2,4
"NRBP2",4,3
"NRCAM",18,4
"NRDE2",9,2
"NREP",3,1
"NRF1",2,5
"NRG1",39,12
"NRG2",5,2
"NRG3",11,5
"NRG4",1,3
"NRGN",2,1
"NRIP1",7,10
"NRIP2",3,2
"NRIP3",1,2
"NRK",3,4
"NRL",5,8
"NRM",1,2
"NRN1",1,0
"NRN1L",1,2
"NRP1",77,11
"NRP2",27,9
"NRROS",5,2
"NRSN1",1,1
"NRSN2",2,2
"NRTN",7,5
"NRXN1",51,12
"NRXN2",15,5
"NRXN3",8,6
"NSA2",2,1
"NSD1",7,15
"NSDHL",5,6
"NSF",11,11
"NSFL1C",9,3
"NSG1",12,3
"NSG2",3,2
"NSL1",3,1
"NSMAF",7,2
"NSMCE1",5,5
"NSMCE2",9,4
"NSMCE4A",6,1
"NSMF",7,2
"NSRP1",5,3
"NSUN2",11,5
"NSUN3",3,3
"NSUN4",1,6
"NSUN5",7,2
"NSUN5P1",1,3
"NSUN5P2",1,3
"NSUN6",4,2
"NSUN7",1,2
"NT5C",10,6
"NT5C1A",7,7
"NT5C1B",2,4
"NT5C2",8,10
"NT5C3A",3,6
"NT5C3B",2,4
"NT5E",10,10
"NT5M",3,4
"NTAN1",3,2
"NTF3",21,5
"NTF4",14,3
"NTHL1",3,11
"NTM",2,1
"NTMT1",8,4
"NTN1",19,3
"NTN3",2,5
"NTN4",8,2
"NTN5",1,0
"NTNG1",6,3
"NTNG2",8,2
"NTRK1",47,13
"NTRK2",37,7
"NTRK3",20,6
"NTS",9,4
"NTSR1",24,5
"NTSR2",5,2
"NUAK1",8,7
"NUAK2",8,6
"NUB1",6,1
"NUBP1",7,8
"NUBP2",2,7
"NUBPL",3,5
"NUCB1",1,5
"NUCB2",2,5
"NUCKS1",17,6
"NUDC",6,3
"NUDCD1",1,1
"NUDCD2",1,2
"NUDCD3",3,2
"NUDT1",6,12
"NUDT10",4,6
"NUDT11",4,6
"NUDT12",8,8
"NUDT13",3,5
"NUDT14",3,5
"NUDT15",9,6
"NUDT16",6,16
"NUDT16L1",1,3
"NUDT17",3,2
"NUDT18",4,5
"NUDT19",8,2
"NUDT2",5,4
"NUDT21",10,8
"NUDT3",8,14
"NUDT4",6,9
"NUDT5",8,10
"NUDT6",2,3
"NUDT7",11,5
"NUDT8",7,3
"NUDT9",2,3
"NUF2",8,4
"NUFIP1",3,7
"NUGGC",3,2
"NUMA1",20,11
"NUMB",8,4
"NUMBL",8,1
"NUP107",7,2
"NUP133",11,2
"NUP153",9,8
"NUP155",9,2
"NUP160",4,2
"NUP188",4,1
"NUP205",5,2
"NUP210",3,1
"NUP214",7,4
"NUP35",5,5
"NUP37",5,1
"NUP43",5,1
"NUP50",3,1
"NUP54",7,4
"NUP62",26,10
"NUP62CL",2,2
"NUP85",7,2
"NUP88",5,2
"NUP93",6,2
"NUP98",11,9
"NUPR1",33,5
"NUS1",11,4
"NUSAP1",5,4
"NUTF2",4,5
"NVL",7,5
"NWD1",2,1
"NXF1",3,3
"NXF2",3,2
"NXF2B",3,2
"NXF3",2,2
"NXF5",3,2
"NXN",7,1
"NXNL1",1,1
"NXNL2",3,0
"NXPE4",1,1
"NXPH1",1,1
"NXPH2",1,2
"NXPH3",1,2
"NXPH4",2,2
"NXT1",3,2
"NXT2",3,1
"NYAP1",2,0
"NYAP2",2,1
"NYNRIN",4,4
"NYX",2,2
"OARD1",4,5
"OAS1",24,5
"OAS2",12,5
"OAS3",20,5
"OASL",8,5
"OAT",4,4
"OAZ1",5,2
"OAZ2",6,2
"OAZ3",6,2
"OBP2A",3,2
"OBP2B",2,2
"OBSCN",5,16
"OBSL1",7,2
"OC90",6,5
"OCA2",7,2
"OCEL1",1,0
"OCIAD1",4,1
"OCIAD2",4,0
"OCLN",14,2
"OCRL",8,11
"OCSTAMP",6,0
"ODAM",8,1
"ODC1",7,3
"ODF1",2,1
"ODF2",6,3
"ODF2L",2,0
"ODF4",2,1
"OFD1",5,5
"OGDH",12,5
"OGDHL",3,4
"OGFOD1",5,5
"OGFR",1,2
"OGG1",20,11
"OGN",4,3
"OGT",35,5
"OIP5",4,3
"OIP5-AS1",2,1
"OIT3",1,2
"OLA1",1,7
"OLAH",2,1
"OLFM1",11,1
"OLFM2",4,1
"OLFM3",2,1
"OLFM4",3,3
"OLFML1",1,0
"OLFML2A",2,2
"OLFML2B",2,2
"OLFML3",1,0
"OLIG1",5,4
"OLIG2",11,7
"OLIG3",6,5
"OLR1",7,4
"OMA1",17,3
"OMD",1,0
"OMG",2,0
"OMP",4,1
"ONECUT1",21,5
"ONECUT2",14,4
"ONECUT3",2,5
"OOEP",12,2
"OPA1",21,9
"OPA3",2,0
"OPALIN",1,0
"OPCML",2,1
"OPHN1",20,4
"OPLAH",1,4
"OPN1LW",7,3
"OPN1MW",6,3
"OPN1MW2",6,3
"OPN1SW",7,3
"OPN3",14,6
"OPN4",12,3
"OPN5",9,2
"OPRD1",20,5
"OPRK1",30,5
"OPRL1",16,4
"OPRM1",22,8
"OPTC",5,1
"OPTN",16,6
"OR10A2",2,2
"OR10A3",3,2
"OR10A4",3,2
"OR10A5",3,2
"OR10A6",2,2
"OR10A7",2,2
"OR10AD1",2,2
"OR10AG1",2,3
"OR10C1",2,2
"OR10D3",2,2
"OR10D4P",2,2
"OR10G2",2,2
"OR10G3",2,2
"OR10G4",2,3
"OR10G6",2,2
"OR10G7",2,2
"OR10G8",2,2
"OR10G9",2,2
"OR10H1",2,2
"OR10H2",2,2
"OR10H3",2,2
"OR10H4",3,3
"OR10H5",2,2
"OR10J1",4,3
"OR10J3",2,3
"OR10J4",2,3
"OR10J5",9,2
"OR10J6P",2,2
"OR10K1",2,3
"OR10K2",2,3
"OR10P1",2,2
"OR10Q1",2,3
"OR10R2",2,3
"OR10S1",2,2
"OR10T2",2,3
"OR10V1",2,3
"OR10W1",2,3
"OR10X1",2,2
"OR10Z1",2,3
"OR11A1",2,2
"OR11G2",2,2
"OR11H1",2,2
"OR11H12",2,2
"OR11H2",2,2
"OR11H4",2,2
"OR11H6",2,2
"OR11H7",2,2
"OR11L1",3,4
"OR12D1",2,3
"OR12D2",2,3
"OR12D3",2,3
"OR13A1",2,3
"OR13C2",2,2
"OR13C3",2,2
"OR13C4",2,2
"OR13C5",2,2
"OR13C6P",2,2
"OR13C8",2,2
"OR13C9",2,2
"OR13D1",2,2
"OR13F1",2,2
"OR13G1",2,3
"OR13H1",2,2
"OR13J1",2,2
"OR14A16",2,3
"OR14A2",2,3
"OR14C36",2,3
"OR14I1",2,4
"OR14J1",2,3
"OR14K1",2,3
"OR1A1",3,2
"OR1A2",4,2
"OR1B1",3,2
"OR1C1",4,2
"OR1D2",6,3
"OR1D4",4,2
"OR1D5",4,2
"OR1E1",4,2
"OR1E2",4,3
"OR1E3",3,2
"OR1F1",3,2
"OR1F2P",3,2
"OR1G1",3,2
"OR1I1",3,2
"OR1J1",3,2
"OR1J2",3,2
"OR1J4",3,2
"OR1K1",2,3
"OR1L1",3,2
"OR1L3",3,3
"OR1L4",3,2
"OR1L6",3,2
"OR1L8",3,2
"OR1M1",3,2
"OR1N1",3,2
"OR1N2",3,2
"OR1P1",3,2
"OR1Q1",4,2
"OR1S1",3,2
"OR1S2",3,2
"OR2A1",2,2
"OR2A12",2,2
"OR2A14",2,2
"OR2A2",2,2
"OR2A25",2,3
"OR2A4",4,4
"OR2A42",2,2
"OR2A5",2,2
"OR2A7",2,3
"OR2AE1",2,2
"OR2AG1",2,3
"OR2AG2",2,2
"OR2AJ1",2,2
"OR2AK2",2,2
"OR2AP1",2,2
"OR2AT4",4,2
"OR2B11",2,2
"OR2B2",2,2
"OR2B3",2,2
"OR2B6",2,2
"OR2B8P",2,2
"OR2C1",2,3
"OR2C3",2,2
"OR2D2",3,2
"OR2D3",2,2
"OR2F1",3,2
"OR2F2",2,2
"OR2G2",2,2
"OR2G3",2,2
"OR2G6",2,3
"OR2H1",2,2
"OR2H2",4,2
"OR2I1P",2,2
"OR2J1",2,2
"OR2J2",2,2
"OR2J3",2,2
"OR2K2",2,2
"OR2L13",3,3
"OR2L2",3,3
"OR2L3",3,3
"OR2L5",3,3
"OR2L8",3,3
"OR2M2",2,2
"OR2M3",2,2
"OR2M4",3,2
"OR2M5",2,2
"OR2M7",2,2
"OR2S2",3,2
"OR2T1",2,2
"OR2T10",2,2
"OR2T11",2,2
"OR2T12",2,2
"OR2T2",2,2
"OR2T27",2,2
"OR2T29",2,2
"OR2T3",2,2
"OR2T33",2,2
"OR2T34",2,2
"OR2T35",2,2
"OR2T4",2,2
"OR2T5",2,2
"OR2T6",2,2
"OR2T7",2,2
"OR2T8",2,2
"OR2V1",2,2
"OR2V2",2,2
"OR2W1",2,2
"OR2W3",2,2
"OR2W6P",2,2
"OR2Y1",2,2
"OR2Z1",2,2
"OR3A1",3,2
"OR3A2",4,3
"OR3A3",3,2
"OR4A15",2,2
"OR4A16",2,2
"OR4A47",2,2
"OR4A4P",2,2
"OR4A5",2,2
"OR4B1",2,2
"OR4C11",2,2
"OR4C12",2,2
"OR4C13",2,2
"OR4C15",2,2
"OR4C16",2,2
"OR4C3",2,2
"OR4C46",2,2
"OR4C5",2,2
"OR4C6",2,2
"OR4D1",3,2
"OR4D10",2,2
"OR4D11",2,2
"OR4D2",2,2
"OR4D5",2,2
"OR4D6",2,2
"OR4D9",2,2
"OR4E1",2,3
"OR4E2",2,4
"OR4F15",2,2
"OR4F16",2,3
"OR4F17",2,2
"OR4F21",2,2
"OR4F29",2,3
"OR4F3",2,3
"OR4F4",2,2
"OR4F5",2,2
"OR4F6",2,2
"OR4K1",2,2
"OR4K13",2,2
"OR4K14",2,2
"OR4K15",2,2
"OR4K17",2,2
"OR4K2",2,2
"OR4K3",2,2
"OR4K5",2,2
"OR4L1",2,2
"OR4M1",2,2
"OR4M2",2,2
"OR4N2",2,2
"OR4N4",2,2
"OR4N5",2,2
"OR4P4",2,2
"OR4Q2",2,2
"OR4Q3",2,2
"OR4S1",2,2
"OR4S2",2,2
"OR4X1",2,2
"OR4X2",2,2
"OR51A2",2,2
