"gene_name","GO_BP_Count","GO_MF_Count"
"ALLC",1,1
"ALMS1",4,3
"ALOX12",15,6
"ALOX12B",12,8
"ALOX15",25,6
"ALOX15B",21,8
"ALOX5",30,6
"ALOX5AP",7,10
"ALOXE3",11,7
"ALPI",1,5
"ALPK1",6,6
"ALPK2",9,3
"ALPK3",4,3
"ALPL",23,9
"ALS2",17,7
"ALS2CL",1,4
"ALX1",6,5
"ALX3",6,3
"ALX4",14,7
"ALYREF",5,4
"AMACR",3,2
"AMBN",5,3
"AMBP",10,13
"AMBRA1",18,5
"AMD1",3,4
"AMDHD1",3,5
"AMDHD2",4,3
"AMELX",16,5
"AMELY",1,2
"AMER1",9,4
"AMER2",4,3
"AMER3",2,3
"AMFR",14,12
"AMH",15,5
"AMHR2",10,8
"AMIGO1",11,2
"AMIGO2",5,1
"AMIGO3",4,1
"AMMECR1",1,1
"AMN",6,3
"AMN1",1,0
"AMOT",23,3
"AMOTL1",6,2
"AMOTL2",9,2
"AMPD1",4,4
"AMPD2",5,4
"AMPD3",4,3
"AMPH",3,2
"AMT",2,3
"AMTN",5,2
"AMY1A",2,3
"AMY1B",2,4
"AMY1C",2,3
"AMY2A",3,3
"AMY2B",1,2
"AMZ1",1,2
"AMZ2",1,2
"ANAPC1",8,1
"ANAPC10",7,1
"ANAPC11",11,6
"ANAPC13",7,1
"ANAPC15",8,1
"ANAPC16",8,1
"ANAPC2",15,2
"ANAPC4",8,3
"ANAPC5",8,1
"ANAPC7",10,2
"ANG",27,14
"ANGEL2",3,1
"ANGPT1",35,4
"ANGPT2",20,5
"ANGPT4",11,2
"ANGPTL1",1,1
"ANGPTL2",1,2
"ANGPTL3",22,5
"ANGPTL4",10,3
"ANGPTL6",2,1
"ANGPTL7",3,2
"ANHX",3,2
"ANK1",7,9
"ANK2",42,10
"ANK3",26,8
"ANKDD1A",1,1
"ANKDD1B",1,0
"ANKFN1",5,0
"ANKFY1",6,4
"ANKH",16,3
"ANKHD1",1,2
"ANKIB1",1,4
"ANKK1",4,4
"ANKLE1",8,3
"ANKLE2",6,3
"ANKRA2",2,5
"ANKRD1",18,9
"ANKRD11",3,0
"ANKRD13A",2,1
"ANKRD13B",1,1
"ANKRD13C",3,2
"ANKRD13D",1,2
"ANKRD16",1,0
"ANKRD17",10,3
"ANKRD2",5,4
"ANKRD23",4,3
"ANKRD24",2,0
"ANKRD26",1,1
"ANKRD27",8,5
"ANKRD30B",1,1
"ANKRD31",3,0
"ANKRD33",1,1
"ANKRD39",1,1
"ANKRD40",1,2
"ANKRD45",1,2
"ANKRD49",3,1
"ANKRD50",2,1
"ANKRD53",5,1
"ANKRD54",3,3
"ANKRD6",3,0
"ANKRD9",3,1
"ANKS1A",3,2
"ANKS1B",1,2
"ANKS4B",5,1
"ANKS6",4,1
"ANKZF1",4,4
"ANLN",8,3
"ANO1",13,10
"ANO10",3,3
"ANO2",2,4
"ANO3",7,3
"ANO4",6,4
"ANO5",3,3
"ANO6",22,9
"ANO7",3,3
"ANO8",2,2
"ANO9",9,8
"ANP32A",3,3
"ANP32B",9,3
"ANP32E",3,5
"ANPEP",5,7
"ANTXR1",4,5
"ANXA1",38,10
"ANXA11",3,9
"ANXA13",3,4
"ANXA2",26,14
"ANXA2P2",1,5
"ANXA3",11,5
"ANXA4",7,8
"ANXA5",4,6
"ANXA6",6,10
"ANXA7",3,7
"ANXA8",5,8
"ANXA8L1",2,3
"ANXA9",2,6
"AOAH",3,3
"AOC1",2,10
"AOC2",4,6
"AOC3",3,8
"AOX1",2,9
"AP1AR",7,3
"AP1B1",8,3
"AP1G1",13,6
"AP1G2",3,2
"AP1M1",6,2
"AP1M2",5,2
"AP1S1",7,2
"AP1S2",4,2
"AP1S3",5,2
"AP2A1",10,5
"AP2A2",5,6
"AP2B1",9,4
"AP2M1",12,7
"AP2S1",7,2
"AP3B1",31,3
"AP3B2",8,0
"AP3D1",22,1
"AP3M1",10,2
"AP3M2",8,1
"AP3S1",12,1
"AP3S2",11,0
"AP4B1",5,2
"AP4E1",4,2
"AP4M1",11,3
"AP4S1",4,0
"AP5B1",3,1
"AP5M1",3,1
"AP5S1",4,1
"AP5Z1",11,1
"APAF1",20,7
"APBA1",13,2
"APBA2",8,3
"APBA3",5,4
"APBB1",14,9
"APBB1IP",3,1
"APBB2",13,3
"APBB3",2,4
"APC",30,9
"APC2",10,4
"APCDD1",5,3
"APCDD1L",1,2
"APCS",13,7
"APEH",3,5
"APEX1",13,25
"APEX2",2,7
"APH1A",10,4
"APH1B",7,3
"API5",3,3
"APIP",7,4
"APLF",12,11
"APLN",16,3
"APLNR",25,4
"APLP1",13,7
"APLP2",4,6
"APMAP",2,3
"APOA1",48,17
"APOA2",39,18
"APOA4",31,11
"APOA5",18,14
"APOB",28,7
"APOBEC1",14,5
"APOBEC2",4,4
"APOBEC3A",9,4
"APOBEC3B",7,4
"APOBEC3C",10,4
"APOBEC3D",6,3
"APOBEC3F",12,5
"APOBEC3G",11,6
"APOBEC3H",8,4
"APOBEC4",1,3
"APOBR",4,1
"APOC1",20,6
"APOC2",22,8
"APOC3",24,6
"APOC4",4,2
"APOD",18,3
"APOE",109,23
"APOF",3,4
"APOH",14,6
"APOL1",6,3
"APOL2",6,4
"APOL3",4,3
"APOL4",3,2
"APOL5",3,2
"APOL6",2,2
"APOLD1",6,1
"APOM",9,3
"APOO",3,1
"APOOL",2,1
"APP",135,31
"APPBP2",4,3
"APPL1",19,8
"APPL2",24,6
"APRT",6,4
"APTX",3,14
"AQP1",56,14
"AQP10",6,4
"AQP11",14,4
"AQP12A",2,2
"AQP12B",2,3
"AQP2",10,4
"AQP3",14,5
"AQP4",8,3
"AQP5",9,3
"AQP6",5,3
"AQP7",3,4
"AQP7P3",3,3
"AQP8",13,5
"AQP9",11,7
"AQR",1,7
"AR",55,23
"ARAF",8,8
"ARAP1",10,5
"ARAP2",3,3
"ARAP3",5,4
"ARC",23,3
"ARCN1",7,2
"AREG",19,6
"AREL1",7,3
"ARF1",9,6
"ARF3",3,3
"ARF4",16,7
"ARF5",3,3
"ARF6",34,7
"ARFGAP1",4,3
"ARFGAP2",2,2
"ARFGAP3",4,3
"ARFGEF1",10,4
"ARFGEF2",9,5
"ARFIP1",4,4
"ARFIP2",8,10
"ARFRP1",6,3
"ARG1",12,3
"ARG2",20,3
